content,start,duration
"&gt;&gt; AS THE FILM GOES ON, HE GOES
TO GET THE GIRL -- YOU KNOW,",338.604,3.904
"HE&#39;S ANGRY AND SHE FEELS SAD FOR
HIM AND HOLDS OUT HER HAND AND",342.508,4.572
"WHEN HE GOES TO HOLD HER HAND,
IT BREAKS HIS HEART AND HE DIES.",347.08,4.404
"&gt;&gt; Stephen: THE LOVE AND
TENDERNESS KILLS THE MONSTER.",351.484,4.037
&gt;&gt; MM-HMM.,355.521,0.935
"THE MONSTER ALSO FALLS ON MY
COUSIN&#39;S HAND, YOU SEE HIS HAND",356.456,5.972
GO LIKE THAT.,362.428,1.068
MY FATHER DIRECTED IT.,363.496,1.168
"( LAUGHTER )
&gt;&gt; Stephen: YOU GREW UP ALL",364.664,1.968
"OVER AMERICA, RIGHT?",366.632,1.535
YOU HAVE A NOMADIC CHILDHOOD.,368.167,2.136
&gt;&gt; YEAH.,370.303,0.233
"&gt;&gt; Stephen: WHERE DID YOU
THINK OF YOURSELF AS BEING FROM?",370.536,3.571
"&gt;&gt; WELL, FOR A WHILE, I THOUGHT
I WAS FROM RUSSIA.",374.107,2.302
&gt;&gt; Stephen: WHY?,376.409,2.803
YOU HAVE FAMILY IN RUSSIA?,379.212,2.235
"&gt;&gt; NO, I WAS BORN IN GUATEMALA,
MY DAD IS CUBAN.",381.447,4.838
"I REMEMBER SHOWING UP IN
KINDERGARTEN BEING, LIKE, GUYS,",386.285,4.371
I&#39;M RUSSIAN.,390.656,1.235
"THEY&#39;RE, LIKE, GREAT.",391.891,0.968
"IT WOULD BE ALL THE KIDS AGAINST
ME IN THE WAR GAMES.",392.859,3.236
"I WENT HOME ONE DAY AND SAID,
DAD, SO WE&#39;RE RUSSIAN?",396.095,3.737
"HE SAID, WHAT?",399.832,2.903
"HE&#39;S, LIKE, WE&#39;RE RUSSIAN IN THE
MORNING.",402.735,8.375
&gt;&gt; Stephen: DAD JOKES.,411.11,0.701
DAD JOKES.,411.811,1.034
"( LAUGHTER )
WELL, NOW YOU&#39;RE PLAYING THE",412.845,3.137
"GREATEST MOST CHALLENGING ROLE
FOR A YOUNG ACTOR WHICH IS",415.982,4.871
&quot;HAMLET.&quot;,420.853,0.868
&gt;&gt; YES.,421.721,0.233
&gt;&gt; Stephen: CONGRATULATIONS.,421.954,0.601
THANK YOU.,422.555,5.072
"&gt;&gt; Stephen: WHAT IS THE
GREATEST CHALLENGE OF PLAYING",427.627,2.135
THAT ROLE?,429.762,0.734
"FOR AN OLDER ACTOR, IT&#39;S LEAR.",430.496,4.438
"FOR YOUNGER ACTORS, &quot;HAMLET,&quot;
THAT&#39;S THE MOUNTAIN TO CLIMB.",434.934,4.705
"WHAT&#39;S THE MOUNTAIN LOOK LIKE TO
YOU NOW?",439.639,3.103
&gt;&gt; LOT OF WORDS.,442.742,0.701
"&gt;&gt; Stephen: SHAKESPEARE GOT
PAID BY THE POUND.",443.443,3.803
&gt;&gt; YEAH.,447.246,0.234
"&gt;&gt; Stephen: COULD YOU TRY TO
EXPLAIN ONE OF THE LINES TO ME.",447.48,2.469
"I LOVE &quot;HAMLET&quot; AND I&#39;M
INTERESTED IN THIS LINE.",449.949,2.636
"HE SAYS TO HIS FRIEND, HORATIO,
PLAYED BY KEEGA KEEGAN-MICHAEL K",452.585,10.611
"HE SAYS, THERE ARE MORE THINGS
THAN ARE DREAMT OF IN YOUR",463.196,8.775
PHILOSOPHY.,471.971,0.601
WHAT READING WOULD YOU SAY.,472.572,2.669
&gt;&gt; ARE WE GOING TO NERD IT OUT?,475.241,3.904
&gt;&gt; Stephen: YES.,479.145,3.637
"HAMLET AND HORATIO ARE
THEOLOGY STUDENT AND THEY ARE",482.782,5.005
"STUDYING PHILOSOPHY WHICH IS
STOICISM.",487.787,3.136
"WE ARE READING THE FOLIO WHICH
ARE THERE ARE MORE THINGS IN",490.923,5.072
"HEAVEN AND EARTH, HORATIO, THAN
ARE DREAMT OF IN OUR PHILOSOPHY.",495.995,6.874
"( APPLAUSE )
&gt;&gt; Stephen: THAT WILL BLOW MY",502.869,2.836
"MIND, BECAUSE THE STOWICS ARE
WHAT YOU SEE IS WHAT YOU GET.",505.705,4.171
"&gt;&gt; YES, AND AT THE TIME IT WAS
THE LUTHERAN REFORMATION.",509.876,3.269
"THEY BELIEVE WHEN YOU DIE YOU GO
TO HEAVEN OR HELL, THERE&#39;S NO",513.145,5.906
PURGATORY.,519.051,0.267
"THE PLAY FOR US IS HOW DO YOU
GRIEVE, THEN?",519.318,4.371
"A LOT OF PEOPLE SAY YOU CAN&#39;T
BELIEVE IN PURGATORY?",523.689,4.471
"THAT&#39;S WHEN WE PLAY FOR PEOPLE&#39;S
SHOWS.",528.16,3.471
"&gt;&gt; Stephen: IT&#39;S LIKE A
WAITING ROOM, YOU TAKE THE HOLY",531.631,2.702
SHOWER AND GO TO HEAVEN.,534.333,1.802
"YOU DO AN ION IN PURGATORY AND
YOU&#39;RE DONE.",536.135,3.47
"&gt;&gt; AND WE&#39;RE ALL PRAYING FOR THE
PROCESS TO GO WELL.",539.605,2.603
"IN THE REFORMATION, THEY&#39;RE,
LIKE, THAT DOESN&#39;T EXIST AND",542.208,3.837
"PEOPLE WERE CONFUSED HOW TO
MOURN.",546.045,2.469
"&gt;&gt; Stephen: HAMLET IS SAYING H
HE&#39;S PRO PURGATORY BECAUSE",548.514,3.837
THAT&#39;S WHERE THE GHOST IS?,552.351,3.137
"&gt;&gt; A GHOST THAT LOOKS LIKE HIS
FATHER COMES BACK AND SAYS",555.488,2.702
AVENGE ME.,558.19,1.635
"EITHER PURGATORY EXISTS OR IT&#39;S
A DEMON OR AN ANGEL.",559.825,3.404
"&gt;&gt; Stephen: THAT SOUNDS LIKE A
GOOD PLAY.",563.229,2.202
I WANT TO SEE IT.,565.431,1.835
&gt;&gt; YEAH.,567.266,0.234
"&gt;&gt; Stephen: OSCAR, THANK YOU
SO MUCH FOR BEING HERE.",567.5,1.968
GOOD LUCK.,569.468,1.836
"&quot;HAMLET&quot; IS AT THE PUBLIC
THEATER JUNE 20 THROUGH",571.304,4.571
SEPTEMBER 3!,575.875,3.203
"OSCAR ISAAC, EVERYBODY!",579.078,1.835
