URL,Title,Channel,Contains ad,Sentiment,Product name,Affiliate link,Sponsorship disclosure,Sponsorship disclosure II,Note
https://www.youtube.com/watch?v=bkOFjaNtaRw,WEDDING JITTERS & PICKING UP THE DRESS!,Samanta Maria vlogs,,,,"*Striped Jumper - http://bit.ly/2roLaFR

*Nude Sandals - http://bit.ly/2romgGo

*Pleather Skirt - http://bit.ly/2sHYWqS

*EGO Mules - http://bit.ly/2sHGIWo",Affiliate links - A small percentage will be earned on purchase from links with an asterisk,,
https://www.youtube.com/watch?v=JpFkAezXdzc,HARDROCK HOTEL VLOG,Skye Wheatley,,,,"Here is the website for Hard rock if you're looking at going to bali!!
https://www.agoda.com/id-id/hard-rock...

And their Instagram is- 
@hardrockbali 
",,,
https://www.youtube.com/watch?v=keBQdR9g1v4,,,,,,,,,
https://www.youtube.com/watch?v=HUasEueXhXY,"OUR NEW $10,000,000 DUBAI PENTHOUSE!!",Meet the vloggers,,,,"* * BOOK here for W Dubai: www.wdubaialhabtoorcity.com/ * * 

* * The suite in the video is known famously as the E-Wow Suite * *",,,
https://www.youtube.com/watch?v=cImM-X6H0C0,"MY $25,000 LUXURY FIRST CLASS AIRPLANE EXPERIENCE!!",Meet the vloggers,,,,* * Book with EMIRATES here: https://www.emirates.com/ae/english/ * *,,,
https://www.youtube.com/watch?v=ihr6uRFdwkw,OUR SECOND MALDIVES HOME TOUR - VLOG 058 & 059,Kane and Pia,,,,Accomodation: http://www.theluxenomad.com,,,
https://www.youtube.com/watch?v=ghluJxgJ1Dk,THE ROCK SENT A TWEET TO PIA! - VLOG 064,Kane and Pia,,,,"So many people asked, this is the list of stuff we did today:

Wholemeal Cafe - http://bit.ly/2gX7UIm
Cryotherapy - http://bit.ly/2gNm2CO
Vessel for lunch - http://bit.ly/2hcjy5l
Sailaway Sydney - http://bit.ly/2h1kPMa

Groupon website - http://bit.ly/2hcsXtt
#SensationalSummer shop - http://bit.ly/2gKvJoU",,,
https://www.youtube.com/watch?v=MzvsncTuk6o,SHE DIDN'T KNOW I WAS FILMING HER - VLOG 089,Kane and Pia,,,,"Floating pot thing: https://flyte.se/pages/lyfe
Pixel clock: LaMetric.com",,,
https://www.youtube.com/watch?v=MXEfFxcdFm0,WE DON'T USUALLY DO THIS! ad,Britpoplife vlogs,,,,"Thanks to BBC Worldwide for sponsoring this video.

Check out the BBC Earth unplugged Youtube channel- ""Children react to strange animals"": http://bit.ly/2q7II9a

You can upload your footage here for the chance to be featured in a special BBC Earth film: http://bbc.in/2q7IQWc",,,
https://www.youtube.com/watch?v=2UffiMaXtZE,I WORE WHITE TO HER WEDDING & GRACE TURNS 1 | PATRICIA BRIGHT - VLOG #2,Patricia bright,,,,- Graces table created by - https://www.instagram.com/lamaisonjones/,,,
https://www.youtube.com/watch?v=2H0L_RXNuJI,"MINI GOLF, LUSH & OFFICE TOUR",MoreZoella,,,,"What I'm Wearing:

*Blue Check Lemons Playsuit - ASOS - http://bit.ly/2rKrH2H
*Sunglasses - Rayban - http://bit.ly/2oxUE3A
Sandals - Primark - http://bit.ly/2fSTrLx
*Red & White Stripe Playsuit - ASOS - http://bit.ly/2rKvihd
Cardigan - Lazy Oaf - http://bit.ly/2agPAJd
",,,
https://www.youtube.com/watch?v=93xN2lm8Goc,MOVING DAY! MOVING INTO OUR HOUSE!,Sierra and Alex,,,,Get 50$ off your LULL mattress with our discount. 100-Night Risk Free Tria:l http://bit.ly/2jHnf0L,,,
https://www.youtube.com/watch?v=Saqs8rpJ0-4,COACHELLA 2017!,Sierra and Alex,,,,"Seat Geek: Click on the Me tab to enter our promo code SIERRA for $20 off your first order, you can download the app by clicking the link below the video #LetsGo : https://sg.app.link/sierra",,,
https://www.youtube.com/watch?v=96w-EFOb36k,COACHELLA 2017 VLOG! Chloe Morello,,,,,"oo Faced & Quay Australia sent a bunch of us out to Palm Springs on a Jet for a weekend of Coachella fun! They TOTALLY spoilt us, it was absolutely the best weekend ever and I already miss everyone SO much!

Check out the Too Faced youtube for more fun videos: http://www.youtube.com/TooFaced

Thanks Quay Australia (http://www.quayaustralia.com) and Too Faced (http://www.toofaced.com) for the most incredible experience!
",,,
https://www.youtube.com/watch?v=ytBOVoK836c,Vlog 16: I CAN NOT DISAPPOINT MY FOLLOWERS - The Caribbean edition,Negin Misalehi,,,,"Outfit 1
Sweater - Misa Carine Cardigan - http://bit.ly/2iPQiyx 
Earrings – Gas Bijoux – http://www.gasbijoux.com 
Jeans – Sandro Parisien Jeans - http://bit.ly/2jfZv69 
Bag – Gucci Dionysus GG Supreme canvas shoulder bag - http://on.gucci.com/2jfMwS8 
Shoes –Nomadic State of Mind Rope Sandals - http://bit.ly/2jEDk6T

Outfit 2
Jumpsuit – House of Harlow 1960 X Revolve Rory Jumpsuit - http://bit.ly/2jfeVI9

Outfit 3
Top – Privacy Please Arden Bodysuit - http://bit.ly/2jrMi8a 
Shorts – Stone Cold Fox Florida Shorts - http://bit.ly/2jfRTkk 
Shoes –Nomadic State of Mind Rope Sandals - http://bit.ly/2jEDk6T

Outfit 4
Dress – Privacy Please Judson Dress - http://bit.ly/2ikSySe

Outfit 5
Bikini – Lovers + Friends Annie Top - http://bit.ly/2jMlLWq

Outfit 6
One piece – Lovers + Friends Sea You Later One Piece - http://bit.ly/2jEQJvu",,,
https://www.youtube.com/watch?v=oesGl34NH5s,VLOG: GETTING LIT IN TENERIFE WITH BAE!,Holly Boon,,,,"SUNGLASSES- http://bit.ly/2o11ivF
Bikinis/shorts and dress from- www.whitefoxboutique.com
",,,
https://www.youtube.com/watch?v=DWF7DaZX-Ps,Shani & Michael Take Bali | VLOG,Shani Grimmond,,,,"Hotel I'm staying at - 
http://www.hiddenhillsvillas.com/",,,
https://www.youtube.com/watch?v=MoubbV3sVok,OUR NEW HOUSE!!,David Dobrik,,,,"A HUGE thank you to Christine and Janina for our stay! Here's their info:
Christine, owner of Lanikai Hillside Estate: www.houseconceptshawaii.com 
Janina, Founder of: www.hawaiianluxury.rentals 

Footage of home courtesy of 360 Property Videos LLC. Watch the full video: https://youtu.be/HLTvzogQJ58

Seriously guys check out the home its gorgeous!
",,,
https://www.youtube.com/watch?v=LntWvC9tqq4,OVER WATER VILLA TOUR! MALDIVES!,Sierra and Alex,,,,"
SUN AQUA VILU REEF RESORT: http://www.sunsiyam.com/resorts/vilu-...
",,,
https://www.youtube.com/watch?v=7EwmIT5nFCU,The TRUTH about our SUCCESS | Alex Ikonn Vlog,Alex Ikonn,,,,UPGRADE YOURSELF - http://www.intelligentchange.com,,,
https://www.youtube.com/watch?v=xWK2sPTC-ag,"$167,000 in 35 days | Vlog 18",Alex Ikonn,,,,"This is a fun and interesting vlog where I show you how I create a website for Productivity Planner - http://www.productivityplanner.com in last than 5 hours. 

To see the full Kickstarter campaign - https://www.kickstarter.com/projects/...

Tools that I've mentioned and used in this video:
http://www.shopify.com - eCommerce platform
http://www.squarespace.com - Alternative eCommerce platform
http://www.trycelery.com - great quick payment gateway set up for pre-orders
",,,
https://www.youtube.com/watch?v=MutE9-JcWj0,"Hello Vietnam: Vinh Long, Hanoi, Ha Long Bay, Da Nang, Hoi An | HAUSOFCOLOR",HAUSOFCOLOR,,,,"
Where I stayed in Vietnam: 
• HANOI: Maison D' Hanoi
http://www.hanovahotel.com
• HA LONG: Ha Long Cruise Tour
http://www.halong-emotion.com
• HOI AN: Swiss-Belhotel Golden Sand Resort & Spa
http://www.goldensandresort-spa.com.vn
• DA NANG: Intercontinental Danang Sun Peninsula Resort & Hyatt Regency
http://danang.intercontinental.com

• The Vietnam visa website I used: http://www.vietnamvisa.govt.vn (visa on arrival)

• Other awesome websites I used:
www.jetsetter.com
www.agoda.com
www.kayak.com
www.hipmunk.com",,,
https://www.youtube.com/watch?v=3N1ppVq_yNk,Halong Bay Luxury Cruise | Signature Cruise,Kara and Nate,,,,This Halong Bay Luxury Cruise was made possible by: http://signaturehalongcruise.com/en/,,,
https://www.youtube.com/watch?v=zMRm5Hl2yqM,Halong Bay Luxury Cruise | Day 2,Kara and Nate,,,,This Halong Bay Luxury Cruise was made possible by: http://signaturehalongcruise.com/en/,,,
https://www.youtube.com/watch?v=wvRnoLIvabY,WE SLEPT ON THE SIDE OF A MOUNTAIN | Peru Sky Lodge,Kara and Nate,,,,This experience was so incredible that we've partnered with Natura Vive to help you book your own Sky Lodge adventure! If you'd like to learn more about staying at the Sky Lodge please shoot us a message http://karaandnate.com/contact/,,,
https://www.youtube.com/watch?v=NawX3Eja1AA,BEST WAY to end a day of HIKING IN THE RAIN!,Kara and Nate,,,,THIS ADVENTURE MADE POSSIBLE BY: http://bit.ly/mountainlodgesofperu,,,
https://www.youtube.com/watch?v=DZBe_vUvOgI,OUR FAVORITE ROOM EVER | Amazon Luxury Cruise,Kara and Nate,,,,THIS ADVENTURE MADE POSSIBLE BY: DELFIN AMAZON CRUISES http://www.delfinamazoncruises.com/,,,
https://www.youtube.com/watch?v=vodcBWYykjc,"WE'RE STAYING IN THE MIDDLE OF THE AMAZON | Iquitos, Peru",Kara and Nate,,,,THIS ADVENTURE MADE POSSIBLE BY: OTORONGO EXPLORATIONS LODGE http://bit.ly/2qsgW3M,,,
https://www.youtube.com/watch?v=YO8_uf_Snpc,We Live on a Boat!! Our Airbnb Couples Getaway to French Polynesia!! /// WEEK 67 : Rangiroa,The Bucket List Family,,,,"
THANK YOU to Albion for the awesome swim and fitness gear for the gals on this trip! Use promo code BUCKETLIST for some extra savings : https://albionfit.com/
",,,
https://www.youtube.com/watch?v=to-Wnc5ftQs,Yesterdays | Ep.1 -- Thou Shalt Vlog Daily,Nicole Guirrero,,,,"Key Mentions:
Vlog Camera (not my favorite but works) -- http://amzn.to/2q2xkIU

Acrylic Compact Organizers -- http://amzn.to/2oJtTWr
Acrylic Concealer/Lipgloss Organzier -- http://amzn.to/2q2z0C5
Acrylic Eyeshadow Organizer -- http://amzn.to/2q2unIs
Acrylic Lipstick Organizer -- http://amzn.to/2q2uHqn
Clear Mac Lipstick Caps -- http://amzn.to/2q2wwni
Marble contact paper -- http://amzn.to/2pfSUcP

Sunnies -- Desi Perkins x Quay -- Olive Saharas
Never Not Chilling Tee -- Zumiez
",,,
https://www.youtube.com/watch?v=IqxdFFPM0Qc,Yesterdays | Ep.7 -- Sunday Funday,Nicole Guirrero,,,,"
Key Mentions:
Vlog Camera (not my favorite but works) -- http://amzn.to/2q2xkIU
Sunnies -- Knockoff Celines haha 
Drone -- DJI Mavic Pro -- http://amzn.to/2poYoDW",,,
https://www.youtube.com/watch?v=KWFcGb76CBw,DON'T TELL BRITTNEY!! The floor is Bubbles!,Roman Atwood Vlogs,,,,Thanks to Arrow.io for sponsoring this video! Get the super awesome Arrow.IO HERE - http://bit.ly/2sdQkFv,,,
https://www.youtube.com/watch?v=vOFa0YHSwx4,Car Crash Prank!!,Roman Atwood Vlogs,,,,"HUGE Thanks to my partners Scott Tube-Free for showing how the toilet paper tubes we use have a big impact on the environment.
Check this out!!! - http://bit.ly/1NvI8nb #Tossthetube",,,
https://www.youtube.com/watch?v=Eoy-6eHlwy4,A DAY IN THE LIFE: MEN'S STYLE VLOGGER | JAIRWOO,Jairwoo,,,,This video is sponsored by Clarks the Original Desert Boot. Thanks for the support!,,,
https://www.youtube.com/watch?v=HCxHHh4SVZo,MALE BLOGGERS IN LONDON | Ali Gordon,Ali Gordon,,,,"FURLA accessories - http://eu.furla.com/store/furlaeu/lis...

Outfit LookBook - 

Ali : GFN clothing - http://rstyle.me/n/cekpdrb2uwp

Jacket - https://www.gfnclothing.com/men-c5/ja...
T-Shirt - http://rstyle.me/n/cej8pdb2uwp
Jeans - https://www.gfnclothing.com/men-c5/de...
Shoes-https://www.gfnclothing.com/men-c5/fo...

Joey :

Jacket - http://rstyle.me/n/cej7xzb2uwp
under Jacket - https://www.armaniexchange.com/gb
trousers - http://rstyle.me/n/cej79hb2uwp
shoes - http://rstyle.me/n/cej9shb2uwp
hat- http://rstyle.me/n/cej9kdb2uwp
_________________________________________",,,
https://www.youtube.com/watch?v=7frmyZowam4,TRAVELING TO COSTA RICA!!,Erik Conover,,,,"
Thank you to Christina at Surf Inn Hermosa! 
http://surfinnhermosa.com/
http://twitter.com/surfinnhermosa
http://instagram.com/surfinnhermosa",,,
https://www.youtube.com/watch?v=G48RiO06DX0,CARIBBEAN BEACH HOUSE TOUR!!,Erik Conover,,,,"
Where we stayed:
http://www.harbourvillage.com/default...
https://www.instagram.com/harbourvill...
https://www.facebook.com/harbourvilla...

Where we dived: 
http://www.divefriendsbonaire.com/ at www.sanddollarbonaire.com

What we drove:
http://www.voyagerbonaire.com/

Where we ate: 
Breeze ‘n Bites at www.denlaman.com
http://bistrodeparis.com/
https://www.facebook.com/BistrodePari...

Thank you to We Share Bonaire for the drone footage, go subscribe! https://www.youtube.com/c/Wesharebonaire
http://www.wesharebonaire.com/",,,
https://www.youtube.com/watch?v=lKSDsWjGqC4,LIVING WITH YOUR GIRLFRIEND,Erik Conover,,,,"
Milena Realtor: 
http://www.nakedapartments.com/a/prof...

http://www.citi-habitats.com/real-est...",,,
https://www.youtube.com/watch?v=Ul8cg8ZlgMs,TOURISTS IN PARIS,Erik Conover,,,,"Where we stayed:
http://www.coq-hotel-paris.com/en/ 
https:// www.instagram.com/coqhotelparis/
https:// twitter.com/coqhotelparis
https:// www.facebook.com/coqhotelparis/

Tara Jarmon: 
https://www.instagram.com/tara_jarmon
https:// twitter.com/tara_jarmon
https://www.facebook.com/ TaraJarmonParis

Petit Palais:
http://www.petitpalais.paris.fr/
https://www.instagram.com/petitpalais...

Atout France Tourism: 
https://twitter.com/US_FranceFR
https://www.instagram.com/visitfrance/
https://www.facebook.com/franceguide/ ",,,
https://www.youtube.com/watch?v=fXgFgk9C8JM,LIVING IN A MANSION!!,Erik Conover,,,,"
Where we stayed:
http://surprenantes.com/en/nantes/lil...

Where we biked:
http://www.estuaire.info/en/

Rent a Castle Room: 
http://www.chateaudupe.fr/en/

Visit Nantes:
http://www.nantes-tourisme.com/en
https://www.instagram.com/levoyageana...
https://twitter.com/visitnantes
https://www.facebook.com/visitnantes/

Atout France Tourism: 
https://twitter.com/US_FranceFR
https://www.instagram.com/visitfrance/
https://www.facebook.com/franceguide/ ",,,
https://www.youtube.com/watch?v=vD42pe4VVkA,MICHELIN STAR RESTAURANT LUXURY EXPERIENCE!,Erik Conover,,,,"Michelin Star Restaurant experience! 

Morning Yoga: 
http://www.quaibranly.fr/en

La Grande Cascade Restaurant: 
https://www.instagram.com/ pavilloncascade/
http://www.restaurantsparisiens.com/e... grande-cascade/ 

Where we stayed: 
http://www.parisperfect.com/ https://
www.instagram.com/parisperfectrentals
https:// twitter.com/parisperfect
https://www.facebook.com/ parisperfect

Atout France Tourism: 
https://twitter.com/US_FranceFR
https://www.instagram.com/visitfrance/
https://www.facebook.com/franceguide/",,,
https://www.youtube.com/watch?v=AdW-Qe321ZI,CALIFORNIA DREAMING - VLOG!,Emitaz,,,,"
Thanks Copter Pilot & Discover LA for this! Check it out: http://www.copterpilot.com/",,,
https://www.youtube.com/watch?v=n15r7aIDdAA,SUMMER IN MARBELLA!,Janni Deler,,,,"My outfit:
Bik Bok hat (sold out)
Na-Kd top (here: http://revr.at/W3b)
Lovers + Friends shorts (here: http://revr.at/V3b)",,,
https://www.youtube.com/watch?v=JGtIaHmW81s,Spend a Date Day with us | Ali Gordon & Lydia Millen | Ad,Ali Gordon,,,,"Get David Beckham's Made Of Instinct fragrance at Boots: https://goo.gl/1ggvQK

It's not often enough Lydia & I make the time to spend some good quality time together, so in today’s video we bring you along on a relaxing date day, Lydia surprises me with the new Limited edition David Beckham fragrance Made Of Instinct and we set off for a walk around our local park, visit a local restaurant & finish off the evening at the cinema. This is how more of our time should be spent.
 
If you want to purchase or learn more about the David Beckham Made Of Instinct fragrance featured then you must click the link here - https://goo.gl/1ggvQK",,,
https://www.youtube.com/watch?v=MoFXJDtCb_E,MILAN WITH THE ARMANI SQUAD | Ali Gordon & Lydia Millen | Ad,Ali Gordon,,,,"Armani Beauty - 
Because it's YOU ( HER ) - http://rstyle.me/~9ZpFD
Stronger with YOU ( HIM ) - http://rstyle.me/~9ZpFV",,,
https://www.youtube.com/watch?v=VOf-I89pGZ0,MALDIVES PURE PARADISE | Ali Gordon & Lydia Elise Millen,Ali Gordon,,,,"
Qatar Airways we traveled with - http://www.qatarairways.com/uk/en/hom...
Hotel Resort we stayed at - http://www.hurawalhi.com",,,
https://www.youtube.com/watch?v=1cnBJYystA0,SHOPPING IN STOCKHOLM WITH ANNA | Lily Pebbles,Lily Pebbles,Yes,,Rekorderlig,"Anna and I went to Stockholm for a few days and had such a fun time shopping, eating and going to a fashion show! Hope you like the vlog. This video contains a paid for advertisement by Rekorderlig.",,,
https://www.youtube.com/watch?v=xQap9P6g5_8,A DAY IN NEW YORK | Lily Pebbles,Lily Pebbles,Yes,,Bobbi Brown,,This video contains a paid for advertisement by Bobbi Brown Cosmetics.,,
https://www.youtube.com/watch?v=rx3l4yIHuSA,A Day In The Life: Sunday With Mark | AD | The Anna Edit,The anna edit,yes ,,,,This video contains a paid for advertisement by Bourjois.,,
https://www.youtube.com/watch?v=re51-voq-HU,A Day In The Life: New York With Lily | The Anna Edit,The Anna edit,No,,,,"Disclaimer: This is not a paid for advertisement. Products purchased by myself or are PR samples. Some links may contain affiliate links. This means that if you click on an affiliate link, go through to the retailer and purchase an item, I may receive a small percentage of your purchase. Check out my website for a full disclaimer - http://annaed.uk/disclaimer.",,
https://www.youtube.com/watch?v=_nP34K2OOsU,The New York Vlog | ViviannaDoesVlogging,The Anna edit,No,,,,"Disclaimer: This video is NOT a paid for advertisement. Check out my website for a full disclaimer - http://www.viviannadoesmakeup.com/dis.... The YouTube commenting system is all over the place, but I do try to respond to as many tweets as I can so that's the best place to contact me. Tweet me @ViviannaMakeup.",,
https://www.youtube.com/watch?v=LDw_ph3ybO0,The Weekly Vlog #16 | ViviannaDoesVlogging,The Anna edit,No,,,,"Disclaimer: This is not a sponsored video. Products purchased by myself or are PR samples. Some affiliate links may be used above. Check out my website for a full disclaimer - http://www.viviannadoesmakeup.com/dis.... The YouTube commenting system is all over the place, but I do try to respond to as many tweets as I can so that's the best place to contact me. Tweet me @ViviannaMakeup.",,
https://www.youtube.com/watch?v=h9StXyLyZpw,Come Shopping With Me | AD | The Anna Edit,The Anna edit,Yes,,,,The one where I make Mark follow me around on a Sunday morning as I go beauty shopping (what A BABE!). This video contains a paid for advertisement by Boots.,,
https://www.youtube.com/watch?v=9YogHlrKnjQ,A Day In The Life: The Best Year Ever? | The Anna Edit,The Anna edit,No,,,,"Disclaimer: This is not a paid for advertisement. Products purchased by myself or are PR samples. Some links may contain affiliate links. This means that if you click on an affiliate link, go through to the retailer and purchase an item, I may receive a small percentage of your purchase. Check out my website for a full disclaimer - http://annaed.uk/disclaimer.",,
https://www.youtube.com/watch?v=rJauCbfrzLc,A Day In The Life Vlog: London | AD | The Anna Edit,The anna edit,Yes,,,,This video contains a paid for advertisement by Space NK.,,
https://www.youtube.com/watch?v=p4SSVMb-JaU,The Thailand Vlog | The Anna Edit,The anna edit,No,,,,his is not a paid for advertisement. Thanks to New Horizon Escapes for inviting me on your Koh Samui retreat. Products purchased by myself or are PR samples. Some affiliate links may be used above. Check out my website for a full disclaimer - http://annaed.uk/disclaimer.,,
https://www.youtube.com/watch?v=3aOcOzbLHDQ,The Sister Day Vlog | AD | ViviannaDoesVlogging,The Anna edit,Yes,,,,This video contains a paid for advertisement by Kinder Bueno.,,
https://www.youtube.com/watch?v=Mpzn32USIF4,The Monday to Friday Vlog | ViviannaDoesVlogging,The Anna edit,No,,,,This is not a paid for advertisement. Products purchased by myself or are PR samples. Some affiliate links may be used above.,,
https://www.youtube.com/watch?v=fAR3ALGwfDo,The L.A Vlog | ViviannaDoesVlogging,The Anna edit,No,,,,Disclaimer: This is not a paid for advertisement. Products purchased by myself or are PR samples. Some affiliate links may be used above. Check out my website for a full disclaimer - http://vdmakeup.uk/disclaimer.,,
https://www.youtube.com/watch?v=yyKyEZ0HWNw,A Day In The Life: What I Eat In A Day | The Anna Edit,The Anna edit,No,,,,his is not a paid for advertisement. Products purchased by myself or are PR samples.,,
https://www.youtube.com/watch?v=C6HghxKEz5E,A HOME DAY VLOG | Lily Pebbles,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=j3yepMW3-oY,THE STRUGGLE IS REAL | AD | Lily Pebbles Vlog,Lily Pebbles,Yes,,,,This video contains a paid for advertisement by Braun.,,
https://www.youtube.com/watch?v=9zUpNn7m34s,THIS COULD BE LIFE CHANGING | AD | Lily Pebbles,Lily Pebbles,Yes,,,,This video contains a paid for advertisement by Simba.,,
https://www.youtube.com/watch?v=BEZXSJSf1hk,Closet Clear Out | Lily Pebbles VLOG,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=PK3stUZ0G0w,EASTER WEEKEND VLOG | AD | Lily Pebbles Vlog,Lily Pebbles,Yes,,,,This video contains a paid for advertisement by Batiste.,,
https://www.youtube.com/watch?v=642tO2aGudo,UN VLOG PRETTY PARIS | AD | Lily Pebbles Vlog,Lily Pebbles,Yes,,,,This video contains a paid for advertisement by Bourjois.,,
https://www.youtube.com/watch?v=yCKZoOzvfaI,WARDROBE CLEANSE & SHOP | Lily Pebbles,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement. Some of the links used above may be affiliate links.,,
https://www.youtube.com/watch?v=8ZyJVFXIxio,PLAYING WITH BOOBS | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=XuS0eE-irm4,A STAYCATION IN LONDON | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=S1drJWm5AC8,SOCIAL MEDIA vs REAL LIFE | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=ELBa7oAsfrs,GETTING SASSY IN THE LAVENDER FIELDS | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=_iv-9j2ttnc,DINNER AT THE RITZ & HAUL | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=7ZdQzm0PgmQ,The Best Grilled Cheese Sandwich! | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=boXHrJH6sN0,A Quick Beach Break | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=H-FKVEA2YpY,Having a Permanent Blow Dry | Lily Pebbles Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=VRBosgDYNi8,Another Weekly Vlog | AD | Lily Pebbles,Lily Pebbles,Yes,,,,This video contains a paid for advertorial from Rekorderlig. Click 'SHOW MORE' below,,
https://www.youtube.com/watch?v=UcEZyb5BWME,Home Sweet Home | Lily Pebbles Weekly Vlog,Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=WQf8MoR6Ja8,"Organising, Packing & Moving | Lily Pebbles Weekly Vlog",Lily Pebbles,No,,,,Disclaimer: This video is not an advertisement.,,
https://www.youtube.com/watch?v=lC7sYQeZFQ8,Life Admin & LA with MIKE! (ad),Fleurdevlog,Yes,,,,This vlog is sponsored by Lenor.,,
https://www.youtube.com/watch?v=schuG9HaN0w,Five Days in LA!,Fleurdevlog,No,,,,This video is not sponsored.,,
https://www.youtube.com/watch?v=fxeEWV-P75w,RUN DE FORCE!,Fleurdevlog,No,,,,This video is not sponsored.,,
